iter  precision  recall
1  0.000000  0.000000
2  0.500000  0.029412
3  0.666667  0.058824
4  0.750000  0.088235
5  0.800000  0.117647
6  0.833333  0.147059
7  0.857143  0.176471
8  0.875000  0.205882
9  0.888889  0.235294
10  0.900000  0.264706
11  0.909091  0.294118
12  0.916667  0.323529
13  0.846154  0.323529
14  0.857143  0.352941
15  0.866667  0.382353
16  0.875000  0.411765
17  0.823529  0.411765
18  0.777778  0.411765
19  0.789474  0.441176
20  0.800000  0.470588
21  0.809524  0.500000
22  0.772727  0.500000
23  0.739130  0.500000
24  0.750000  0.529412
25  0.720000  0.529412
26  0.692308  0.529412
27  0.666667  0.529412
28  0.678571  0.558824
29  0.689655  0.588235
30  0.666667  0.588235
31  0.677419  0.617647
32  0.656250  0.617647
33  0.636364  0.617647
34  0.617647  0.617647
