iter  AnomalyNodeRemoved  LL
0 NA -776.044891
1 401686 -759.226121
2 222219 -733.997965
3 175762 -708.769809
4 534786 -691.951039
5 3973 -683.541654
6 285128 -675.132268
7 100009 -666.722883
8 346568 -649.904113
9 161245 -641.494727
10 506320 -633.088343
11 139088 -611.310056
12 241016 -589.449616
13 109590 -569.007518
14 101814 -548.718784
15 516347 -542.129337
16 14935 -535.436678
17 161336 -509.464857
18 92465 -485.100283
19 449941 -479.102371
20 524769 -473.000625
21 258370 -466.793188
22 317910 -437.928982
23 121926 -414.866187
24 114014 -409.372470
25 396551 -383.398210
26 341967 -350.794817
27 284970 -329.132232
28 86268 -306.616810
29 57728 -289.639948
30 422027 -257.918530
31 410942 -237.185203
32 295130 -217.846124
33 484357 -195.346085
34 422838 -168.505380
