iter  AnomalyNodeRemoved  LL
0 NA -2066.017296
1 205753 -2019.669237
2 120216 -1834.280290
3 514234 -2103.637518
4 144759 -1537.657538
5 96570 -1417.155461
6 170852 -1749.572251
7 28177 -1788.475930
8 143298 -1769.937009
9 214971 -1751.398104
10 145667 -1381.846969
11 439926 -1231.858574
12 241881 -1190.660942
13 323839 -1162.852627
14 388820 -1408.429270
15 502220 -935.234405
16 251270 -996.002360
17 207318 -810.280343
18 356552 -851.809269
19 343273 -842.539788
20 245861 -949.655055
21 520043 -2706.681729
22 155547 -921.186933
23 29420 -706.940511
24 335207 -883.497651
25 471504 -861.218415
26 385452 -843.433378
27 68266 -1129.772992
28 267589 -2419.328532
29 101887 -1002.602757
30 237412 -731.871313
31 493688 -956.662987
32 490663 -711.398452
33 478239 -2057.819671
34 522052 -836.480532
35 113814 -816.357301
36 174042 -797.746735
37 148815 -778.691897
38 399472 -1659.232978
39 334949 -674.548013
40 93050 -1473.843818
41 138082 -452.280284
42 362794 -586.996682
43 526279 -571.426602
44 430917 -1186.490621
45 282030 -964.023630
46 242922 -335.456763
