iter  precision  recall
1  0.033898  0.086957
2  0.042373  0.217391
3  0.042017  0.217391
4  0.039683  0.217391
5  0.039370  0.217391
6  0.038760  0.217391
7  0.038462  0.217391
8  0.045802  0.260870
9  0.070968  0.478261
10  0.070513  0.478261
11  0.070064  0.478261
12  0.046809  0.478261
13  0.030220  0.478261
14  0.032877  0.521739
15  0.035519  0.565217
16  0.038147  0.608696
17  0.040761  0.652174
18  0.040650  0.652174
19  0.043243  0.695652
20  0.045822  0.739130
21  0.048387  0.782609
22  0.048257  0.782609
23  0.050802  0.826087
