iter  AnomalyNodeRemoved  LL
0 NA -714755.875117
1 101941 -714292.252051
2 301934 -713650.554551
3 346478 -713417.695012
4 330336 -713238.195525
5 438342 -713115.234892
6 211624 -712970.737640
7 341529 -712930.417120
8 66547 -712828.635857
9 57669 -712764.195888
10 526315 -712539.834939
11 184924 -712317.660435
12 245903 -712097.648701
13 408299 -711977.670855
14 102401 -711818.102745
15 176661 -711738.338844
16 90736 -711678.519628
17 312438 -711558.883958
18 191776 -711499.065238
19 338825 -711439.247726
20 422248 -711199.978991
21 271036 -710681.564207
22 52709 -710362.539679
23 443096 -710262.844458
24 359597 -710242.905343
25 340993 -710203.027253
26 518010 -710083.393113
27 541111 -710003.637018
28 201510 -709923.880932
29 263769 -709884.002885
30 395166 -709844.124840
31 438112 -709824.185815
32 502805 -709764.368754
33 480784 -709744.429732
34 313888 -709724.490709
35 458860 -709684.612668
36 511166 -709664.673649
37 522017 -709624.795612
38 225412 -709604.856593
39 61250 -709505.161500
40 102759 -709445.344444
41 511871 -709365.588369
42 523316 -709186.137201
43 61298 -709066.503088
44 494550 -709026.625051
45 8504 -708867.112901
46 474086 -708747.478789
47 191789 -708727.539771
48 58548 -708707.600752
49 95441 -708647.783696
50 387102 -708587.966640
51 150586 -708548.088602
52 50068 -708488.271546
53 478951 -708448.393509
54 178342 -708428.454490
55 71985 -708408.515471
56 75604 -708288.881359
57 209951 -708268.942341
58 338246 -708109.430191
59 253174 -708089.491172
60 156196 -708069.552154
61 421211 -707969.857060
62 469106 -707949.918041
63 281442 -707929.979023
64 162929 -707910.040004
65 529261 -707870.161967
66 324343 -707850.222948
67 184766 -707630.893742
68 484918 -707591.015705
69 269412 -707571.076686
70 233312 -707531.198649
71 476474 -707471.381593
72 226521 -707431.503555
73 485099 -707291.930424
74 86889 -707271.991406
75 403340 -707252.052387
76 11245 -707232.113368
77 541953 -707192.235331
78 65959 -707132.418275
79 26779 -707052.662200
80 29704 -706992.845144
81 216289 -706933.028088
82 28469 -706913.089069
83 220954 -706873.211032
84 526611 -706833.332994
85 261356 -706813.393976
86 129620 -706793.454957
87 16597 -706753.576920
88 21839 -706713.698882
89 152011 -706693.759864
90 386597 -706514.308695
91 16818 -706434.552620
92 78680 -706314.918508
93 195877 -706175.345377
94 840 -706095.589303
95 434367 -706035.772247
96 515449 -705956.016172
97 315704 -705916.138134
98 369028 -705896.199116
99 378940 -705836.382060
100 96679 -705796.504022
101 30408 -705756.625985
102 294865 -705696.808929
103 331269 -705676.869910
104 273364 -705656.930891
105 32357 -705636.991873
106 358772 -705617.052854
107 335424 -705597.113835
108 66827 -705497.418742
109 68199 -705437.601686
110 93076 -705417.662667
111 395376 -705377.784630
112 299913 -705337.906592
113 52720 -705298.028555
114 115308 -705278.089536
115 42816 -705238.211499
116 381561 -705218.272480
117 299025 -705198.333461
118 405455 -705178.394443
119 286390 -705118.577387
120 461889 -705038.821312
121 292478 -705018.882293
122 50191 -704979.004256
123 181724 -704959.065237
124 500756 -704939.126218
125 357467 -704919.187200
126 395498 -704899.248181
127 373742 -704879.309162
128 500348 -704819.492106
129 304718 -704799.553087
130 221557 -704779.614069
131 211986 -704759.675050
132 321592 -704739.736031
133 258518 -704719.797013
134 420941 -704699.857994
135 100488 -704679.918975
136 393922 -704659.979957
137 533960 -704640.048832
138 529971 -704620.157979
139 128723 -704600.268551
140 528363 -704580.380545
141 509991 -704560.491565
142 483638 -704539.958757
143 63461 -704520.107602
144 376648 -704500.330905
145 236946 -704480.392856
146 251535 -704460.513006
147 507783 -704440.626675
148 535003 -704420.753138
149 104426 -704400.883704
150 262533 -704381.014460
151 370434 -704361.146023
152 181646 -704341.279051
153 436869 -704321.413289
154 46718 -704301.547804
155 198994 -704281.788369
156 215425 -704262.029792
157 372847 -704242.301353
158 92048 -704222.576708
159 61577 -704202.906780
160 38140 -704183.238754
161 530239 -704163.519049
162 495699 -704143.854947
163 384787 -704124.206459
164 315159 -704104.559050
165 44421 -704084.862279
166 145671 -704065.033922
167 70307 -704045.421343
168 152208 -704025.813427
169 198354 -704006.202586
170 267574 -703986.598425
171 279062 -703966.777585
172 494970 -703947.169458
173 436138 -703926.907927
174 392420 -703899.242311
175 219060 -703870.032512
176 465527 -703848.361286
177 193213 -703828.724365
178 16741 -703808.911442
179 536725 -703789.295099
180 39120 -703769.680590
181 210092 -703750.066587
182 533243 -703730.453095
183 158752 -703710.840708
184 45885 -703691.285862
185 164985 -703671.733313
186 55185 -703652.192899
187 122288 -703632.614878
188 88418 -703613.091371
189 113475 -703593.522882
190 471399 -703573.952381
191 251704 -703554.384877
192 421625 -703534.598223
193 447837 -703514.811961
194 420065 -703495.306510
195 62986 -703475.643103
196 170302 -703455.983479
197 411597 -703436.438735
198 44767 -703416.937409
199 161684 -703397.394119
200 337288 -703377.740405
201 254930 -703358.087215
202 84711 -703338.887603
203 121216 -703319.235302
204 37181 -703299.743353
205 503813 -703279.673332
206 10266 -703260.145392
207 264467 -703240.664554
208 13035 -703221.140629
209 401537 -703201.617335
210 221748 -703182.094612
211 124980 -703162.572280
212 209952 -703143.051055
213 365258 -703123.281075
214 152047 -703103.771066
215 94074 -703084.261284
216 350215 -703064.494749
217 256534 -703044.729193
218 44124 -703024.964420
219 14278 -703005.199591
220 408825 -702985.435120
221 220850 -702965.932451
222 410527 -702946.429898
223 103586 -702926.935086
224 85191 -702907.440878
225 488196 -702887.946962
226 524495 -702868.189124
227 319448 -702848.430853
228 132034 -702828.946308
229 368715 -702809.462612
230 488651 -702789.979299
231 216483 -702770.224232
232 97598 -702750.744583
233 305269 -702711.520705
234 3135 -702692.045834
235 247731 -702672.293592
236 411022 -702652.826224
237 378230 -702633.363128
238 244719 -702613.901235
239 489094 -702594.443269
240 351943 -702574.985849
241 34233 -702555.428841
242 26838 -702535.973920
243 363124 -702516.417814
244 267626 -702496.966018
245 416977 -702477.222998
246 105297 -702457.773044
247 321241 -702438.030666
248 238536 -702418.484757
249 3093 -702398.747942
250 384512 -702379.012212
251 525968 -702359.277284
252 277741 -702339.542630
253 93267 -702320.019366
254 447183 -702300.288998
255 375406 -702280.564734
256 492973 -702261.062205
257 103349 -702241.340823
258 227495 -702221.620045
259 413776 -702201.899715
260 125244 -702182.182977
261 165252 -702162.706069
262 333743 -702142.992410
263 502481 -702123.517356
264 478779 -702104.142079
265 431926 -702084.681782
266 15125 -702065.223153
267 344548 -702045.521464
268 216185 -702026.073954
269 243473 -702006.633234
270 185800 -701986.935055
271 463483 -701967.496914
272 383788 -701948.063328
273 236149 -701928.368226
274 512130 -701908.936296
275 146400 -701889.504557
276 28994 -701870.073402
277 316768 -701850.647330
278 19093 -701830.954895
279 53197 -701811.529317
280 282698 -701792.107742
281 17566 -701772.686810
282 58717 -701752.999109
283 135047 -701733.311491
284 313811 -701713.623942
285 187933 -701694.042242
286 128784 -701674.637260
287 362150 -701655.052709
288 203331 -701634.329826
289 19145 -701614.957829
290 53717 -701595.542800
291 261047 -701575.969375
292 529430 -701556.396274
293 450705 -701536.991828
294 269319 -701517.404520
295 495989 -701497.930524
296 291158 -701478.274164
297 509918 -701458.603963
298 47271 -701439.036711
299 87914 -701419.652761
300 413483 -701400.104657
301 395398 -701380.552229
302 85448 -701361.023601
303 314629 -701341.493397
304 36257 -701322.026941
305 507563 -701302.562329
306 181254 -701264.145807
307 321957 -701244.542970
308 360554 -701225.086405
309 128546 -701204.491607
310 523540 -701184.843126
311 517724 -701165.390272
312 233334 -701145.963310
313 429077 -701126.547471
314 107932 -701107.130870
315 406656 -701087.721496
316 74247 -701068.313450
317 504125 -701048.871126
318 108031 -701029.439905
319 144998 -701010.052820
320 18657 -700990.624497
321 452245 -700971.238922
322 134951 -700951.853322
323 417956 -700932.467090
324 315006 -700913.172657
325 142956 -700893.789784
326 405077 -700874.386722
327 233617 -700855.024670
328 229714 -700835.630266
329 186412 -700816.273890
330 439449 -700796.884103
331 162486 -700777.495854
332 344650 -700758.108034
333 118866 -700738.718647
334 230846 -700719.369725
335 466354 -700699.981843
336 229076 -700680.634152
337 321083 -700661.286618
338 236404 -700641.944137
