iter  AnomalyNodeRemoved  LL
0 NA -3709.263593
1 83252 -3608.654835
2 92920 -3415.177733
3 73966 -3324.629846
4 504364 -4394.932323
5 544391 -2749.568959
6 157915 -2649.305588
7 309070 -2299.995360
8 431758 -3203.532609
9 147977 -3163.289210
10 14567 -4193.714841
11 88867 -4103.166904
12 15554 -4012.618968
13 377393 -2881.162217
14 8926 -2416.385739
15 541359 -2926.685374
16 332123 -2896.502776
17 512705 -2780.553424
18 107930 -2760.431648
19 121262 -3821.462427
20 296660 -2666.269428
21 412972 -2656.208639
22 74666 -2632.296644
23 534192 -3660.488370
24 439553 -2513.110502
25 129562 -2492.988754
26 520858 -2278.766134
27 344237 -2442.684397
28 343898 -2392.379967
29 147760 -2342.075587
30 265286 -2301.832088
31 258433 -3368.722972
32 123533 -2272.251768
33 244947 -3328.479415
34 327740 -3247.992386
35 505559 -2178.149532
36 186253 -3207.748881
37 48359 -2093.881631
38 293867 -3087.018377
39 60779 -2038.726474
40 355265 -2028.665599
41 434007 -3006.531510
42 40318 -1472.329621
43 428970 -1977.945414
44 324898 -2217.168131
45 361437 -1951.306334
46 272733 -2907.169276
47 474184 -1875.716445
48 465101 -1857.725337
49 153173 -1822.987610
50 184707 -2736.134466
51 419830 -1651.460829
52 433145 -2635.525727
53 454538 -1580.945046
54 444736 -1650.247145
55 119275 -2514.795226
56 183951 -2454.429906
57 168608 -1263.842046
58 213689 -1598.389845
59 2625 -1511.638421
60 537524 -1704.246776
61 248193 -1686.687322
62 217000 -1449.806849
63 99335 -1641.385595
64 198181 -1397.834046
65 433665 -1609.597102
66 164151 -1329.176757
67 85570 -1505.236098
68 71292 -1194.169196
69 492176 -1297.559889
70 395771 -1217.424987
71 271345 -1402.990071
72 471591 -1190.292850
73 126713 -1160.110127
74 220148 -1119.866640
75 423708 -1089.684039
76 52895 -782.886960
77 173221 -1047.896170
