iter  precision  recall
1  0.000000  0.000000
2  0.000000  0.000000
3  0.000000  0.000000
4  0.000000  0.000000
5  0.000000  0.000000
6  0.000000  0.000000
7  0.000000  0.000000
8  0.000000  0.000000
9  0.000000  0.000000
10  0.000000  0.000000
11  0.000000  0.000000
12  0.000000  0.000000
13  0.000000  0.000000
14  0.000000  0.000000
15  0.000000  0.000000
16  0.000000  0.000000
17  0.000000  0.000000
18  0.000000  0.000000
19  0.000000  0.000000
20  0.000000  0.000000
21  0.000000  0.000000
22  0.000000  0.000000
23  0.000000  0.000000
24  0.000000  0.000000
25  0.000000  0.000000
26  0.000000  0.000000
27  0.000000  0.000000
28  0.000000  0.000000
29  0.000000  0.000000
30  0.000000  0.000000
31  0.000000  0.000000
32  0.000000  0.000000
33  0.000000  0.000000
34  0.000000  0.000000
35  0.000000  0.000000
36  0.000000  0.000000
37  0.000000  0.000000
38  0.000000  0.000000
39  0.000000  0.000000
40  0.000000  0.000000
41  0.000000  0.000000
42  0.000000  0.000000
43  0.000000  0.000000
44  0.000000  0.000000
45  0.000000  0.000000
46  0.000000  0.000000
47  0.000000  0.000000
48  0.000000  0.000000
49  0.000000  0.000000
50  0.000000  0.000000
51  0.000000  0.000000
52  0.000000  0.000000
53  0.000000  0.000000
54  0.000000  0.000000
55  0.000000  0.000000
56  0.000000  0.000000
57  0.000000  0.000000
58  0.000000  0.000000
59  0.000000  0.000000
60  0.000000  0.000000
61  0.000000  0.000000
62  0.000000  0.000000
63  0.000000  0.000000
64  0.000000  0.000000
65  0.000000  0.000000
66  0.000000  0.000000
67  0.000000  0.000000
68  0.000000  0.000000
69  0.000000  0.000000
70  0.000000  0.000000
71  0.000000  0.000000
72  0.000000  0.000000
73  0.000000  0.000000
74  0.000000  0.000000
75  0.000000  0.000000
76  0.000000  0.000000
77  0.000000  0.000000
78  0.000000  0.000000
79  0.000000  0.000000
80  0.000000  0.000000
81  0.000000  0.000000
82  0.000000  0.000000
83  0.000000  0.000000
84  0.000000  0.000000
85  0.000000  0.000000
86  0.000000  0.000000
87  0.000000  0.000000
88  0.000000  0.000000
89  0.000000  0.000000
90  0.000000  0.000000
91  0.000000  0.000000
92  0.000000  0.000000
93  0.000000  0.000000
94  0.000000  0.000000
95  0.000000  0.000000
96  0.000000  0.000000
97  0.000000  0.000000
98  0.000000  0.000000
99  0.000000  0.000000
100  0.000000  0.000000
101  0.000000  0.000000
102  0.000000  0.000000
103  0.000000  0.000000
104  0.009615  0.001024
105  0.019048  0.002047
106  0.018868  0.002047
107  0.018692  0.002047
108  0.018519  0.002047
109  0.018349  0.002047
110  0.018182  0.002047
111  0.018018  0.002047
112  0.017857  0.002047
113  0.017699  0.002047
114  0.017544  0.002047
115  0.017391  0.002047
116  0.017241  0.002047
117  0.017094  0.002047
118  0.016949  0.002047
119  0.016807  0.002047
120  0.016667  0.002047
121  0.016529  0.002047
122  0.016393  0.002047
123  0.016260  0.002047
124  0.016129  0.002047
125  0.016000  0.002047
126  0.015873  0.002047
127  0.023622  0.003071
128  0.023438  0.003071
129  0.023256  0.003071
130  0.023077  0.003071
131  0.022901  0.003071
132  0.022727  0.003071
133  0.022556  0.003071
134  0.022388  0.003071
135  0.022222  0.003071
136  0.022059  0.003071
137  0.021898  0.003071
138  0.021739  0.003071
139  0.021583  0.003071
140  0.021429  0.003071
141  0.021277  0.003071
142  0.021127  0.003071
143  0.020979  0.003071
144  0.020833  0.003071
145  0.020690  0.003071
146  0.020548  0.003071
147  0.020408  0.003071
148  0.020270  0.003071
149  0.020134  0.003071
150  0.020000  0.003071
151  0.019868  0.003071
152  0.019737  0.003071
153  0.019608  0.003071
154  0.019481  0.003071
155  0.025806  0.004094
156  0.025641  0.004094
157  0.025478  0.004094
158  0.025316  0.004094
159  0.025157  0.004094
160  0.025000  0.004094
161  0.024845  0.004094
162  0.024691  0.004094
163  0.024540  0.004094
164  0.024390  0.004094
165  0.024242  0.004094
166  0.024096  0.004094
167  0.023952  0.004094
168  0.023810  0.004094
169  0.023669  0.004094
170  0.023529  0.004094
171  0.023392  0.004094
172  0.023256  0.004094
173  0.023121  0.004094
174  0.022989  0.004094
175  0.022857  0.004094
176  0.022727  0.004094
177  0.022599  0.004094
178  0.022472  0.004094
179  0.022346  0.004094
180  0.022222  0.004094
181  0.022099  0.004094
182  0.021978  0.004094
183  0.021858  0.004094
184  0.021739  0.004094
185  0.021622  0.004094
186  0.021505  0.004094
187  0.021390  0.004094
188  0.021277  0.004094
189  0.021164  0.004094
190  0.021053  0.004094
191  0.020942  0.004094
192  0.020833  0.004094
193  0.020725  0.004094
194  0.020619  0.004094
195  0.020513  0.004094
196  0.020408  0.004094
197  0.020305  0.004094
198  0.020202  0.004094
199  0.020101  0.004094
200  0.020000  0.004094
201  0.019900  0.004094
202  0.019802  0.004094
203  0.019704  0.004094
204  0.019608  0.004094
205  0.019512  0.004094
206  0.019417  0.004094
207  0.019324  0.004094
208  0.019231  0.004094
209  0.019139  0.004094
210  0.019048  0.004094
211  0.018957  0.004094
212  0.018868  0.004094
213  0.018779  0.004094
214  0.018692  0.004094
215  0.018605  0.004094
216  0.018519  0.004094
217  0.018433  0.004094
218  0.018349  0.004094
219  0.018265  0.004094
220  0.018182  0.004094
221  0.018100  0.004094
222  0.018018  0.004094
223  0.017937  0.004094
224  0.017857  0.004094
225  0.017778  0.004094
226  0.017699  0.004094
227  0.017621  0.004094
228  0.017544  0.004094
229  0.017467  0.004094
230  0.017391  0.004094
231  0.017316  0.004094
232  0.017241  0.004094
233  0.017167  0.004094
234  0.017094  0.004094
235  0.017021  0.004094
236  0.016949  0.004094
237  0.016878  0.004094
238  0.016807  0.004094
239  0.016736  0.004094
240  0.016667  0.004094
241  0.016598  0.004094
242  0.016529  0.004094
243  0.016461  0.004094
244  0.016393  0.004094
245  0.016327  0.004094
246  0.016260  0.004094
247  0.016194  0.004094
248  0.016129  0.004094
249  0.016064  0.004094
250  0.016000  0.004094
