iter  AnomalyNodeRemoved  LL
0 NA -1013889.196023
1 349352 -988817.798587
2 61367 -988749.154428
3 523397 -988698.099790
4 484532 -988606.244773
5 324600 -988526.456624
6 346548 -988460.753010
7 223000 -988396.167656
8 365390 -988363.387748
9 437554 -988339.951489
10 185904 -988318.849272
11 377540 -988298.365325
12 291300 -988277.721743
13 51185 -988257.321047
14 469795 -988236.919787
15 180812 -988216.493941
16 461144 -988195.928521
17 68186 -988175.417103
18 66238 -988155.023702
19 202403 -988134.629950
20 503171 -988114.233261
21 449260 -988093.841272
22 516463 -988073.454142
23 499976 -988053.067045
24 199143 -988032.679957
25 15940 -988012.289553
26 495593 -987991.899208
27 62374 -987971.509449
28 529993 -987951.118613
29 512712 -987930.729198
30 565 -987910.340660
31 113233 -987889.947598
32 216796 -987869.559942
33 442902 -987849.174505
34 446965 -987828.787838
35 284882 -987808.402354
36 213938 -987788.019069
37 262786 -987767.630036
38 168987 -987747.247673
39 298686 -987726.865747
40 150434 -987706.483820
