iter  precision  recall
1  0.000000  0.000000
2  0.000000  0.000000
3  0.000000  0.000000
4  0.000000  0.000000
5  0.000000  0.000000
6  0.000000  0.000000
7  0.000000  0.000000
8  0.000000  0.000000
9  0.000000  0.000000
10  0.000000  0.000000
11  0.000000  0.000000
12  0.000000  0.000000
13  0.076923  0.000537
14  0.071429  0.000537
15  0.066667  0.000537
16  0.062500  0.000537
17  0.058824  0.000537
18  0.111111  0.001074
19  0.105263  0.001074
20  0.100000  0.001074
21  0.095238  0.001074
22  0.090909  0.001074
23  0.086957  0.001074
24  0.083333  0.001074
25  0.080000  0.001074
26  0.076923  0.001074
27  0.074074  0.001074
28  0.071429  0.001074
29  0.068966  0.001074
30  0.066667  0.001074
31  0.064516  0.001074
32  0.062500  0.001074
33  0.060606  0.001074
34  0.058824  0.001074
35  0.057143  0.001074
36  0.055556  0.001074
37  0.054054  0.001074
38  0.052632  0.001074
39  0.051282  0.001074
40  0.050000  0.001074
41  0.048780  0.001074
42  0.047619  0.001074
43  0.046512  0.001074
44  0.045455  0.001074
45  0.044444  0.001074
46  0.043478  0.001074
47  0.042553  0.001074
48  0.041667  0.001074
49  0.040816  0.001074
50  0.040000  0.001074
51  0.039216  0.001074
52  0.038462  0.001074
53  0.037736  0.001074
54  0.037037  0.001074
55  0.036364  0.001074
56  0.035714  0.001074
57  0.035088  0.001074
58  0.034483  0.001074
59  0.033898  0.001074
60  0.033333  0.001074
61  0.049180  0.001610
62  0.048387  0.001610
63  0.047619  0.001610
64  0.046875  0.001610
65  0.046154  0.001610
66  0.045455  0.001610
67  0.044776  0.001610
68  0.044118  0.001610
69  0.043478  0.001610
70  0.042857  0.001610
71  0.042254  0.001610
72  0.041667  0.001610
73  0.054795  0.002147
74  0.054054  0.002147
75  0.053333  0.002147
76  0.052632  0.002147
77  0.051948  0.002147
78  0.051282  0.002147
79  0.050633  0.002147
80  0.050000  0.002147
81  0.061728  0.002684
82  0.060976  0.002684
83  0.060241  0.002684
84  0.059524  0.002684
85  0.058824  0.002684
86  0.058140  0.002684
87  0.057471  0.002684
88  0.056818  0.002684
89  0.056180  0.002684
90  0.055556  0.002684
91  0.054945  0.002684
92  0.054348  0.002684
93  0.053763  0.002684
94  0.053191  0.002684
95  0.052632  0.002684
96  0.052083  0.002684
97  0.051546  0.002684
98  0.051020  0.002684
99  0.050505  0.002684
100  0.050000  0.002684
101  0.049505  0.002684
102  0.049020  0.002684
103  0.048544  0.002684
104  0.057692  0.003221
105  0.057143  0.003221
106  0.056604  0.003221
107  0.056075  0.003221
108  0.055556  0.003221
109  0.055046  0.003221
110  0.054545  0.003221
111  0.054054  0.003221
112  0.053571  0.003221
113  0.053097  0.003221
114  0.052632  0.003221
115  0.052174  0.003221
116  0.051724  0.003221
117  0.051282  0.003221
118  0.050847  0.003221
119  0.050420  0.003221
120  0.050000  0.003221
121  0.049587  0.003221
122  0.049180  0.003221
123  0.048780  0.003221
124  0.048387  0.003221
125  0.048000  0.003221
126  0.047619  0.003221
127  0.047244  0.003221
128  0.046875  0.003221
129  0.046512  0.003221
130  0.046154  0.003221
131  0.045802  0.003221
132  0.045455  0.003221
133  0.045113  0.003221
134  0.044776  0.003221
135  0.044444  0.003221
136  0.044118  0.003221
137  0.043796  0.003221
138  0.043478  0.003221
139  0.043165  0.003221
140  0.042857  0.003221
141  0.042553  0.003221
142  0.042254  0.003221
143  0.041958  0.003221
144  0.041667  0.003221
145  0.041379  0.003221
146  0.041096  0.003221
147  0.040816  0.003221
148  0.040541  0.003221
149  0.040268  0.003221
150  0.040000  0.003221
151  0.039735  0.003221
152  0.039474  0.003221
153  0.039216  0.003221
154  0.038961  0.003221
155  0.038710  0.003221
156  0.038462  0.003221
157  0.038217  0.003221
158  0.037975  0.003221
159  0.037736  0.003221
160  0.037500  0.003221
161  0.037267  0.003221
162  0.043210  0.003757
163  0.042945  0.003757
164  0.042683  0.003757
165  0.042424  0.003757
166  0.042169  0.003757
167  0.041916  0.003757
168  0.041667  0.003757
169  0.041420  0.003757
170  0.041176  0.003757
171  0.040936  0.003757
172  0.040698  0.003757
173  0.040462  0.003757
174  0.040230  0.003757
175  0.040000  0.003757
176  0.039773  0.003757
177  0.039548  0.003757
178  0.039326  0.003757
179  0.039106  0.003757
180  0.038889  0.003757
181  0.038674  0.003757
182  0.038462  0.003757
183  0.038251  0.003757
184  0.038043  0.003757
185  0.037838  0.003757
186  0.037634  0.003757
187  0.037433  0.003757
188  0.037234  0.003757
189  0.037037  0.003757
190  0.036842  0.003757
191  0.036649  0.003757
192  0.036458  0.003757
193  0.036269  0.003757
194  0.036082  0.003757
195  0.035897  0.003757
196  0.035714  0.003757
197  0.035533  0.003757
198  0.035354  0.003757
199  0.035176  0.003757
200  0.035000  0.003757
201  0.034826  0.003757
202  0.034653  0.003757
203  0.034483  0.003757
204  0.034314  0.003757
205  0.034146  0.003757
206  0.033981  0.003757
207  0.033816  0.003757
208  0.033654  0.003757
209  0.033493  0.003757
210  0.033333  0.003757
211  0.033175  0.003757
212  0.033019  0.003757
213  0.032864  0.003757
214  0.037383  0.004294
215  0.037209  0.004294
216  0.037037  0.004294
217  0.036866  0.004294
218  0.036697  0.004294
219  0.036530  0.004294
220  0.036364  0.004294
221  0.036199  0.004294
222  0.036036  0.004294
223  0.035874  0.004294
224  0.035714  0.004294
225  0.035556  0.004294
226  0.035398  0.004294
227  0.035242  0.004294
228  0.035088  0.004294
229  0.034934  0.004294
230  0.034783  0.004294
231  0.034632  0.004294
232  0.034483  0.004294
233  0.034335  0.004294
234  0.034188  0.004294
235  0.034043  0.004294
236  0.033898  0.004294
237  0.033755  0.004294
238  0.033613  0.004294
239  0.037657  0.004831
240  0.037500  0.004831
241  0.037344  0.004831
242  0.037190  0.004831
243  0.037037  0.004831
244  0.036885  0.004831
245  0.036735  0.004831
246  0.036585  0.004831
247  0.036437  0.004831
248  0.036290  0.004831
249  0.036145  0.004831
250  0.036000  0.004831
