iter  AnomalyNodeRemoved  LL
0 NA -876671.396502
1 415176 -841352.316236
2 57224 -826054.893536
3 112958 -823663.159856
4 235263 -826396.334274
5 92262 -839519.549167
6 88397 -831055.840588
7 144995 -829181.742510
8 163981 -829173.988206
9 95961 -827159.559383
10 260881 -829742.061670
11 512046 -831188.876354
12 78323 -825082.297377
13 117214 -827913.050092
14 144349 -829814.346873
15 214079 -818230.989439
16 110258 -825636.827344
17 464401 -827285.368174
18 55624 -831017.385972
19 168099 -829677.243058
20 387779 -832163.293535
21 258944 -838878.892005
22 319913 -828813.334183
23 206817 -828377.908189
24 157652 -830379.892549
25 408631 -832642.842117
26 247753 -826299.467329
27 130221 -830262.473762
28 171283 -826422.708624
29 163986 -827300.493339
30 399002 -830294.263741
31 488543 -830499.287307
32 109272 -825382.611211
33 261043 -831552.854279
34 232812 -830414.366711
35 280471 -829306.625159
36 433881 -829057.411470
37 126132 -814895.989411
38 531842 -844247.098919
39 326713 -826001.781121
40 38568 -828768.804098
41 540293 -825916.255510
42 519816 -822351.659092
43 124257 -826589.458451
44 275013 -830469.826263
45 801 -826135.261454
46 11474 -814101.117391
47 33522 -831084.287272
48 533325 -823944.303684
49 94108 -828808.711294
50 148431 -827429.941770
51 343272 -828385.363134
52 177869 -823462.845033
53 207415 -823716.001820
54 517964 -824131.551793
55 96235 -823797.129140
56 71630 -815428.390953
57 411737 -829224.750584
58 413103 -828946.535077
59 327000 -829277.071856
60 411053 -824478.575759
61 338985 -826188.230569
62 77641 -825067.705216
63 514953 -826056.951360
64 38941 -817449.911610
65 13059 -828205.801219
66 317366 -823664.271965
67 244259 -823036.566851
68 346223 -839238.865939
69 290480 -830872.678261
70 90150 -827180.843274
71 282336 -830085.025717
72 358563 -823987.364487
73 350666 -814933.891475
74 203470 -826339.234224
75 60080 -826730.828392
76 188138 -826626.052115
77 129233 -823986.781494
78 134093 -828519.407193
79 162673 -825762.794387
80 209827 -823905.815652
81 88161 -825730.428555
82 275746 -828499.565585
83 470342 -824731.813836
84 99280 -816081.496235
85 322193 -828104.904308
86 509833 -824701.266563
87 535413 -825791.525533
88 229630 -824939.331731
89 333669 -830388.110874
90 187179 -825932.391766
91 398687 -827739.975330
92 488354 -828978.531631
93 337121 -823267.322830
94 119983 -824344.830484
95 358024 -822357.673981
96 140519 -821995.401951
97 240765 -811502.104300
98 306927 -825721.223206
99 123833 -830219.786001
100 533133 -827044.890254
