iter  precision  recall
1  0.000000  0.000000
2  0.000000  0.000000
3  0.000000  0.000000
4  0.000000  0.000000
5  0.000000  0.000000
6  0.000000  0.000000
7  0.000000  0.000000
8  0.000000  0.000000
9  0.000000  0.000000
10  0.100000  0.000263
11  0.090909  0.000263
12  0.083333  0.000263
13  0.076923  0.000263
14  0.071429  0.000263
15  0.066667  0.000263
16  0.062500  0.000263
17  0.058824  0.000263
18  0.055556  0.000263
19  0.052632  0.000263
20  0.050000  0.000263
21  0.047619  0.000263
22  0.045455  0.000263
23  0.043478  0.000263
24  0.041667  0.000263
25  0.040000  0.000263
26  0.038462  0.000263
27  0.037037  0.000263
28  0.035714  0.000263
29  0.034483  0.000263
30  0.033333  0.000263
31  0.032258  0.000263
32  0.031250  0.000263
33  0.030303  0.000263
34  0.029412  0.000263
35  0.028571  0.000263
36  0.027778  0.000263
37  0.027027  0.000263
38  0.026316  0.000263
39  0.025641  0.000263
40  0.025000  0.000263
41  0.024390  0.000263
42  0.023810  0.000263
43  0.023256  0.000263
44  0.022727  0.000263
45  0.022222  0.000263
46  0.021739  0.000263
47  0.042553  0.000526
48  0.041667  0.000526
49  0.061224  0.000789
50  0.060000  0.000789
51  0.058824  0.000789
52  0.076923  0.001052
53  0.094340  0.001315
54  0.092593  0.001315
55  0.090909  0.001315
56  0.089286  0.001315
57  0.105263  0.001578
58  0.120690  0.001841
59  0.118644  0.001841
60  0.116667  0.001841
61  0.131148  0.002104
62  0.129032  0.002104
63  0.126984  0.002104
64  0.140625  0.002367
65  0.138462  0.002367
66  0.136364  0.002367
67  0.134328  0.002367
68  0.132353  0.002367
69  0.130435  0.002367
70  0.128571  0.002367
71  0.126761  0.002367
72  0.125000  0.002367
73  0.123288  0.002367
74  0.135135  0.002630
75  0.133333  0.002630
76  0.131579  0.002630
77  0.129870  0.002630
78  0.128205  0.002630
79  0.126582  0.002630
80  0.125000  0.002630
81  0.123457  0.002630
82  0.121951  0.002630
83  0.120482  0.002630
84  0.119048  0.002630
85  0.117647  0.002630
86  0.116279  0.002630
87  0.114943  0.002630
88  0.113636  0.002630
89  0.112360  0.002630
90  0.111111  0.002630
91  0.109890  0.002630
92  0.108696  0.002630
93  0.107527  0.002630
94  0.106383  0.002630
95  0.105263  0.002630
96  0.104167  0.002630
97  0.103093  0.002630
98  0.102041  0.002630
99  0.101010  0.002630
100  0.100000  0.002630
101  0.099010  0.002630
102  0.098039  0.002630
103  0.097087  0.002630
104  0.096154  0.002630
105  0.095238  0.002630
106  0.094340  0.002630
107  0.093458  0.002630
108  0.101852  0.002893
109  0.100917  0.002893
110  0.100000  0.002893
111  0.108108  0.003156
112  0.107143  0.003156
113  0.106195  0.003156
114  0.105263  0.003156
115  0.104348  0.003156
116  0.103448  0.003156
117  0.102564  0.003156
118  0.101695  0.003156
119  0.100840  0.003156
120  0.100000  0.003156
121  0.099174  0.003156
122  0.106557  0.003419
123  0.105691  0.003419
124  0.104839  0.003419
125  0.104000  0.003419
126  0.103175  0.003419
127  0.102362  0.003419
128  0.109375  0.003682
129  0.108527  0.003682
130  0.115385  0.003945
131  0.114504  0.003945
132  0.113636  0.003945
133  0.112782  0.003945
134  0.119403  0.004208
135  0.118519  0.004208
136  0.125000  0.004471
137  0.124088  0.004471
138  0.123188  0.004471
139  0.122302  0.004471
140  0.121429  0.004471
141  0.127660  0.004734
142  0.126761  0.004734
143  0.125874  0.004734
144  0.125000  0.004734
145  0.124138  0.004734
146  0.123288  0.004734
147  0.122449  0.004734
148  0.128378  0.004997
149  0.127517  0.004997
150  0.133333  0.005260
151  0.139073  0.005523
152  0.138158  0.005523
153  0.137255  0.005523
154  0.136364  0.005523
155  0.135484  0.005523
156  0.134615  0.005523
157  0.133758  0.005523
158  0.132911  0.005523
159  0.132075  0.005523
160  0.131250  0.005523
161  0.130435  0.005523
162  0.129630  0.005523
163  0.128834  0.005523
164  0.128049  0.005523
165  0.127273  0.005523
166  0.126506  0.005523
167  0.125749  0.005523
168  0.125000  0.005523
169  0.124260  0.005523
170  0.123529  0.005523
171  0.122807  0.005523
172  0.122093  0.005523
173  0.121387  0.005523
174  0.120690  0.005523
175  0.125714  0.005786
176  0.125000  0.005786
177  0.129944  0.006049
178  0.129213  0.006049
179  0.134078  0.006312
180  0.133333  0.006312
181  0.132597  0.006312
182  0.131868  0.006312
183  0.131148  0.006312
184  0.130435  0.006312
185  0.129730  0.006312
186  0.129032  0.006312
187  0.128342  0.006312
188  0.127660  0.006312
189  0.126984  0.006312
190  0.126316  0.006312
191  0.125654  0.006312
192  0.125000  0.006312
193  0.124352  0.006312
194  0.123711  0.006312
195  0.123077  0.006312
196  0.122449  0.006312
197  0.121827  0.006312
198  0.121212  0.006312
199  0.120603  0.006312
200  0.120000  0.006312
201  0.124378  0.006575
202  0.123762  0.006575
203  0.123153  0.006575
204  0.122549  0.006575
205  0.121951  0.006575
206  0.121359  0.006575
207  0.120773  0.006575
208  0.120192  0.006575
209  0.119617  0.006575
210  0.123810  0.006839
211  0.127962  0.007102
212  0.127358  0.007102
213  0.126761  0.007102
214  0.126168  0.007102
215  0.125581  0.007102
216  0.125000  0.007102
217  0.124424  0.007102
218  0.123853  0.007102
219  0.123288  0.007102
220  0.122727  0.007102
221  0.122172  0.007102
222  0.121622  0.007102
223  0.121076  0.007102
224  0.120536  0.007102
225  0.120000  0.007102
226  0.119469  0.007102
227  0.123348  0.007365
228  0.122807  0.007365
229  0.122271  0.007365
230  0.126087  0.007628
231  0.125541  0.007628
232  0.125000  0.007628
233  0.124464  0.007628
234  0.123932  0.007628
235  0.123404  0.007628
236  0.122881  0.007628
237  0.122363  0.007628
238  0.121849  0.007628
239  0.121339  0.007628
240  0.120833  0.007628
241  0.120332  0.007628
242  0.119835  0.007628
243  0.119342  0.007628
244  0.118852  0.007628
245  0.118367  0.007628
246  0.117886  0.007628
247  0.117409  0.007628
248  0.116935  0.007628
249  0.116466  0.007628
250  0.116000  0.007628
