iter  AnomalyNodeRemoved  LL
0 NA -1244105.551311
1 228055 -928735.504072
2 520297 -931710.671726
3 534091 -879915.478856
4 192226 -801565.127209
5 434176 -861276.554272
6 177649 -851787.155831
7 462271 -850730.639768
8 421511 -849877.562256
9 385893 -849744.014716
10 451565 -848444.910553
11 91457 -848307.152556
12 390280 -848066.717032
13 137907 -847980.506620
14 294501 -847961.435289
15 322179 -847939.829882
16 457348 -788558.920682
17 32608 -847879.734204
18 42892 -848299.426934
19 524756 -1030473.352861
