iter  precision  recall
1  1.000000  0.034483
2  1.000000  0.068966
3  1.000000  0.103448
4  1.000000  0.137931
5  1.000000  0.172414
6  1.000000  0.206897
7  1.000000  0.241379
8  1.000000  0.275862
9  1.000000  0.310345
10  1.000000  0.344828
11  1.000000  0.379310
12  1.000000  0.413793
13  1.000000  0.448276
14  1.000000  0.482759
15  1.000000  0.517241
16  1.000000  0.551724
17  1.000000  0.586207
18  1.000000  0.620690
19  0.947368  0.620690
20  0.900000  0.620690
21  0.857143  0.620690
22  0.863636  0.655172
23  0.826087  0.655172
24  0.833333  0.689655
25  0.840000  0.724138
26  0.846154  0.758621
27  0.851852  0.793103
28  0.857143  0.827586
29  0.862069  0.862069
