iter  AnomalyNodeRemoved  LL
0 NA -663.020057
1 297185 -638.161248
2 205392 -629.874979
3 485656 -621.588709
4 405361 -613.302440
5 528567 -605.016170
6 496611 -596.729901
7 259701 -588.443631
8 346884 -580.157362
9 282794 -550.650598
10 294399 -542.665229
11 143487 -528.864184
12 297532 -521.345659
13 63598 -513.982590
14 143328 -506.517112
15 67108 -498.952561
16 437381 -491.293749
17 430305 -483.547789
18 359630 -475.721893
19 190065 -439.788951
20 435655 -409.729346
21 239320 -379.444978
22 512521 -366.878918
23 363769 -342.173004
24 439571 -336.671748
25 538290 -331.282505
26 537145 -325.730275
27 213063 -320.001847
28 185397 -314.080124
29 500657 -307.938367
