iter  AnomalyNodeRemoved  LL
0 NA -429771.754392
1 118630 -365403.230458
2 407311 -367630.352681
3 477977 -366328.422545
4 295850 -367913.325605
5 107857 -364041.055317
6 285155 -367910.088602
7 504751 -367103.176221
8 527001 -368376.524686
9 73461 -365736.556836
10 251947 -364596.358285
11 437777 -363867.313390
12 317063 -368173.602154
13 236020 -365284.352694
14 384782 -368674.160251
15 113991 -364859.307266
16 231736 -363091.070301
17 271889 -369145.409926
18 304549 -366197.400349
19 454338 -366488.762800
20 238119 -367256.483452
21 193773 -363803.825809
22 410007 -366250.882807
23 84166 -366180.246453
24 535409 -362888.450713
25 29404 -364955.258767
26 169989 -364970.038280
27 48813 -361214.209932
28 24663 -366988.412110
29 85711 -366840.912340
30 515653 -362667.208866
31 414791 -364541.020916
32 376631 -363276.483832
33 314528 -363715.719660
34 515144 -365594.878344
35 456796 -362145.648505
36 321316 -363918.657835
37 432162 -361822.497799
38 213912 -361048.019143
39 461910 -364550.344761
40 66871 -365824.215074
41 64688 -364782.812111
42 192791 -364533.191221
43 66764 -365384.978459
44 237628 -359757.787898
45 310240 -362065.201921
46 534490 -364191.669377
47 542880 -361758.295028
48 70482 -360546.700005
49 327721 -360993.028792
50 251850 -361079.133048
51 541614 -360696.095174
52 310715 -362221.017660
53 517448 -366790.233825
54 477198 -361502.412148
55 465287 -361461.540726
56 411383 -365123.263182
57 279789 -363142.715766
58 238761 -363502.859883
59 387223 -364337.649890
60 408602 -358859.196979
61 185094 -361637.192578
62 109992 -361320.709286
63 387730 -360970.861836
64 479437 -362221.099330
65 374136 -361632.839741
66 509715 -361583.886702
67 13059 -360819.871992
68 30301 -360502.785697
69 235775 -361530.794526
70 333247 -359450.264074
71 239641 -357902.908309
72 17629 -360212.905664
73 127402 -363184.421069
74 272529 -362761.332339
75 134155 -361314.284939
76 69003 -361372.230405
77 22326 -362079.733958
78 334111 -360923.971174
79 393855 -359675.625890
80 394298 -359473.456205
81 67749 -359435.613234
82 277174 -360969.095853
83 345756 -360888.684485
84 2550 -359609.764179
85 493239 -361106.249402
86 153437 -358702.029002
87 516175 -361212.510627
88 208683 -360062.517371
89 275746 -359644.445798
90 311810 -358562.938710
91 25971 -356655.548993
92 61052 -357579.384446
93 231296 -359477.156348
94 532708 -356852.936735
95 68171 -360578.091577
96 300983 -362399.643849
97 507797 -359421.887987
98 301050 -359623.917440
99 298236 -357988.643181
100 464236 -358489.533595
