iter  AnomalyNodeRemoved  LL
0 NA -7689.743383
1 110557 -4526.856374
2 453375 -5135.060312
3 346179 -5721.726373
4 146527 -5641.712302
5 117548 -5013.786215
6 437689 -4416.113045
7 463139 -4393.845247
8 505613 -4542.724184
9 54908 -3865.269945
10 494286 -3182.206185
11 284484 -3843.721710
12 499709 -3801.184991
13 82609 -3106.289050
14 548482 -3295.878130
15 168719 -3717.774569
16 388514 -3697.707653
17 442025 -3232.466958
18 352294 -3644.664166
19 33563 -3184.268460
20 455588 -3573.070666
21 453326 -3541.554045
22 79662 -4889.255263
23 10064 -249.579086
