iter  AnomalyNodeRemoved  LL
231 169828 -808650.849015
232 516985 -808610.970978
233 498550 -808551.153921
234 336101 -808511.275884
235 364542 -808491.336865
236 30310 -808431.519809
237 509793 -808411.580791
238 115014 -808351.763734
239 308701 -808291.946678
240 217605 -808272.007660
241 411245 -808232.129622
242 426556 -808192.251585
243 184356 -807952.983361
244 223693 -807853.288267
245 338825 -807793.471211
246 422248 -807554.202987
247 271036 -807035.788501
248 52709 -806716.764201
249 12328 -806656.947145
250 487204 -806597.130089
251 212230 -806577.191071
252 417011 -806557.252052
253 299960 -806497.434996
254 273361 -806357.861865
255 329040 -806278.105790
256 431721 -806218.288734
257 229291 -806178.410697
258 254036 -806138.532659
259 227495 -806118.593640
260 50083 -806058.776584
261 452384 -805998.959528
262 521815 -805899.264435
263 124215 -805819.508360
264 181244 -805739.752285
265 223508 -805699.874248
266 223218 -805600.179154
267 45953 -805540.362098
268 164238 -805460.606024
269 405478 -805420.727986
270 36884 -805400.788967
271 228862 -805360.910930
272 247512 -805321.032893
273 168919 -805281.154855
274 14538 -805221.337799
275 411258 -805201.398780
276 254163 -805081.764668
277 350181 -805002.008594
278 450 -804942.191537
279 207886 -804922.252519
280 61447 -804762.740369
281 544009 -804742.801350
282 396131 -804702.923313
283 113844 -804682.984294
284 190588 -804643.106257
285 320010 -804623.167238
286 187782 -804543.411164
287 248999 -804523.472145
288 361737 -804503.533126
289 125323 -804443.716070
290 544408 -804363.959995
291 202734 -804224.386864
292 236387 -804104.752752
293 181232 -804005.057659
294 189018 -803925.301584
295 443096 -803825.606490
296 359597 -803805.667472
297 340993 -803765.789434
298 315159 -803725.911397
299 518010 -803626.216303
300 369405 -803586.338266
301 460598 -803566.399247
302 213512 -803526.521210
303 151973 -803506.582191
304 151972 -803466.704154
305 363752 -803446.765135
306 455753 -803406.887098
307 510581 -803167.618873
308 32984 -803028.045743
309 57452 -802888.472612
310 432929 -802748.899481
311 271961 -802689.082425
312 484774 -802629.265369
313 436155 -802529.570275
314 86175 -802469.753219
315 82296 -802370.058126
316 12451 -802310.241070
317 477300 -802270.363032
318 73444 -802230.484995
319 515517 -802210.545976
320 110272 -801991.216770
321 502805 -801931.399714
322 480784 -801911.460696
323 525968 -801891.521677
324 313888 -801871.582658
325 128723 -801811.765602
326 538616 -801791.826583
327 250176 -801672.192471
328 254243 -801592.436396
329 454561 -801532.619340
330 462559 -801492.741303
331 266676 -801472.802284
332 352440 -801412.985228
333 253379 -801373.107191
334 57415 -801313.290135
335 335665 -801273.412097
336 5343 -801213.595041
337 367357 -801173.717004
338 391225 -800974.326817
339 484517 -800954.387798
340 3687 -800934.448779
341 507862 -800834.753686
342 543117 -800814.814667
343 258545 -800794.875649
344 414497 -800754.997611
345 526119 -800655.302518
346 200769 -800635.363499
347 118233 -800336.278219
348 129793 -800256.522144
349 217981 -800176.766069
350 162849 -800097.009994
351 421154 -800077.070976
352 16263 -800037.192938
353 458860 -799997.314901
354 511166 -799977.375882
355 522017 -799937.497845
356 534457 -799837.802751
357 121673 -799718.168639
358 57001 -799638.412564
359 433912 -799578.595508
360 234939 -799538.717471
361 197783 -799419.083359
362 370789 -799379.205321
363 540610 -799339.327284
364 385929 -799319.388265
365 221048 -799299.449246
366 322589 -799219.693172
367 62045 -799060.181022
368 173172 -798980.424947
369 412293 -798960.485929
370 411082 -798920.607891
371 118578 -798860.790835
372 356245 -798800.973779
373 360811 -798741.156723
374 15833 -798661.400648
375 49383 -798541.766536
376 528434 -798462.010461
377 80651 -798442.071442
378 251446 -798402.193405
379 524456 -798342.376349
380 254655 -798322.437330
381 407393 -798242.681256
382 307662 -798222.742237
383 225412 -798202.803218
384 421625 -798182.864199
385 156415 -798103.108125
386 531909 -797804.022844
387 152623 -797465.059526
388 246707 -797146.035227
389 172515 -796846.949947
390 87123 -796827.010928
391 137723 -796587.742704
392 59948 -796507.986629
393 492752 -796488.047610
394 525251 -796428.230554
395 430755 -796308.596442
396 16126 -796268.718405
397 125505 -796228.840367
398 161864 -796149.084292
399 230423 -796129.145274
400 186992 -796109.206255
401 242773 -796089.267236
402 108191 -796069.328218
403 47238 -795929.755087
404 489007 -795869.938031
405 523269 -795770.242937
406 63606 -795730.364900
407 360348 -795690.486862
408 121835 -795610.730788
